time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,x_center_retrieved,y_center_retrieved
1577964814.189483,psf_trial6_00006580.fits,-0.773502,4.707500,-6.566212,52.000000,45.000000
1577964815.006773,psf_trial6_00006586.fits,-0.613165,6.702504,-1.580691,52.000000,45.000000
1577964815.825555,psf_trial6_00006591.fits,-0.470728,5.492811,-1.172284,52.000000,45.000000
1577964816.642845,psf_trial6_00006597.fits,-0.642254,7.750068,5.799965,52.000000,45.000000
1577964817.468322,psf_trial6_00006603.fits,-0.900209,7.728383,-2.144881,52.000000,45.000000
1577964818.282846,psf_trial6_00006608.fits,-1.158233,5.329264,-0.212707,52.000000,45.000000
1577964819.101504,psf_trial6_00006614.fits,-1.155899,4.962837,0.596654,52.000000,45.000000
1577964819.906097,psf_trial6_00006620.fits,-1.156145,4.960832,1.690640,52.000000,45.000000
1577964820.707268,psf_trial6_00006624.fits,-0.901115,3.638208,1.048310,52.000000,45.000000
1577964821.512023,psf_trial6_00006629.fits,-1.155623,3.683954,2.608479,52.000000,45.000000
1577964822.332776,psf_trial6_00006635.fits,-1.157664,6.660770,3.048904,52.000000,45.000000
1577964823.154057,psf_trial6_00006640.fits,-1.383878,6.863748,9.691840,52.000000,45.000000
1577964823.973382,psf_trial6_00006646.fits,-1.044976,6.216797,0.889714,52.000000,45.000000
1577964824.804117,psf_trial6_00006652.fits,-1.042951,8.619873,0.906336,52.000000,45.000000
1577964825.617696,psf_trial6_00006658.fits,-1.044976,6.216797,0.889714,52.000000,45.000000
1577964826.439424,psf_trial6_00006663.fits,-1.044813,6.209668,1.859262,52.000000,45.000000
1577964827.250641,psf_trial6_00006669.fits,-1.306180,5.994137,9.392816,52.000000,45.000000
1577964828.072879,psf_trial6_00006675.fits,-1.386907,5.908302,13.754192,52.000000,45.000000
1577964828.881256,psf_trial6_00006680.fits,-0.845775,4.620593,-9.065905,52.000000,46.000000
1577964829.698303,psf_trial6_00006686.fits,-1.197505,6.658232,-7.418350,52.000000,46.000000
1577964830.505419,psf_trial6_00006692.fits,-1.283299,-10.228330,-0.915653,53.000000,46.000000
1577964831.324301,psf_trial6_00006697.fits,-1.279962,-8.727229,0.225581,53.000000,46.000000
1577964832.140044,psf_trial6_00006703.fits,-1.283052,-7.999819,-0.997863,53.000000,46.000000
1577964832.952426,psf_trial6_00006709.fits,-1.283052,-7.999819,-0.997863,53.000000,46.000000
1577964833.766487,psf_trial6_00006714.fits,-1.283052,-7.999819,-0.997863,53.000000,46.000000
