time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,y_center_retrieved,x_center_retrieved
1577954485.114720,psf_trial2_00004059.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954485.878497,psf_trial2_00004064.fits,-1.235028,0.018716,0.569501,50.000000,50.000000
1577954486.639405,psf_trial2_00004070.fits,-1.235028,0.018716,0.569501,50.000000,50.000000
1577954487.404249,psf_trial2_00004075.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954488.154466,psf_trial2_00004080.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954488.915681,psf_trial2_00004086.fits,-0.728897,0.029302,1.273471,50.000000,50.000000
1577954489.665970,psf_trial2_00004091.fits,-0.728897,0.029302,1.273471,50.000000,50.000000
1577954490.441553,psf_trial2_00004096.fits,-0.728897,0.029302,1.273471,50.000000,50.000000
1577954491.194216,psf_trial2_00004101.fits,-0.728897,0.029302,1.273471,50.000000,50.000000
1577954491.971181,psf_trial2_00004107.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954492.729504,psf_trial2_00004112.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954493.495433,psf_trial2_00004117.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954494.256437,psf_trial2_00004123.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954495.094320,psf_trial2_00004128.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954495.893003,psf_trial2_00004134.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954496.667920,psf_trial2_00004139.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954497.425531,psf_trial2_00004145.fits,-1.472615,0.034477,3.646712,50.000000,50.000000
1577954498.172635,psf_trial2_00004150.fits,-1.235028,0.018716,0.569501,50.000000,50.000000
1577954498.934064,psf_trial2_00004155.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954499.688780,psf_trial2_00004160.fits,-0.728897,0.029302,1.273471,50.000000,50.000000
1577954500.440210,psf_trial2_00004166.fits,-1.235028,0.018716,0.569501,50.000000,50.000000
1577954501.196445,psf_trial2_00004171.fits,-1.235028,0.018716,0.569501,50.000000,50.000000
1577954501.964041,psf_trial2_00004176.fits,-1.235028,0.018716,0.569501,50.000000,50.000000
1577954502.724567,psf_trial2_00004181.fits,-1.235028,0.018716,0.569501,50.000000,50.000000
1577954503.485927,psf_trial2_00004187.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954504.251903,psf_trial2_00004192.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954505.024608,psf_trial2_00004197.fits,-0.728897,0.029302,1.273471,50.000000,50.000000
1577954505.778417,psf_trial2_00004203.fits,-0.478315,0.026923,3.595278,50.000000,50.000000
1577954506.527900,psf_trial2_00004208.fits,-0.478315,0.026923,3.595278,50.000000,50.000000
1577954507.292563,psf_trial2_00004213.fits,-0.238774,-0.071158,-4.414669,50.000000,50.000000
1577954508.052086,psf_trial2_00004219.fits,-0.478315,0.026923,3.595278,50.000000,50.000000
1577954508.803397,psf_trial2_00004224.fits,-0.478315,0.026923,3.595278,50.000000,50.000000
1577954509.588299,psf_trial2_00004229.fits,-0.478315,0.026923,3.595278,50.000000,50.000000
1577954510.354127,psf_trial2_00004234.fits,-0.478315,0.026923,3.595278,50.000000,50.000000
1577954511.103763,psf_trial2_00004240.fits,-0.478315,0.026923,3.595278,50.000000,50.000000
1577954511.864321,psf_trial2_00004245.fits,-0.728897,0.029302,1.273471,50.000000,50.000000
1577954512.631163,psf_trial2_00004250.fits,-0.728897,0.029302,1.273471,50.000000,50.000000
1577954513.397668,psf_trial2_00004255.fits,-0.728897,0.029302,1.273471,50.000000,50.000000
1577954514.150348,psf_trial2_00004261.fits,-0.728897,0.029302,1.273471,50.000000,50.000000
1577954514.941319,psf_trial2_00004266.fits,-0.728897,0.029302,1.273471,50.000000,50.000000
1577954515.853552,psf_trial2_00004272.fits,-0.728897,0.029302,1.273471,50.000000,50.000000
1577954516.619305,psf_trial2_00004278.fits,-0.989843,-0.083881,-4.064569,50.000000,50.000000
1577954517.378048,psf_trial2_00004283.fits,-0.728897,0.029302,1.273471,50.000000,50.000000
1577954518.136969,psf_trial2_00004288.fits,-0.728897,0.029302,1.273471,50.000000,50.000000
1577954518.893774,psf_trial2_00004294.fits,-0.478315,0.026923,3.595278,50.000000,50.000000
1577954519.655702,psf_trial2_00004299.fits,-0.478315,0.026923,3.595278,50.000000,50.000000
1577954520.425152,psf_trial2_00004304.fits,-0.478315,0.026923,3.595278,50.000000,50.000000
1577954521.187913,psf_trial2_00004310.fits,-0.478315,0.026923,3.595278,50.000000,50.000000
1577954521.954560,psf_trial2_00004315.fits,-0.478315,0.026923,3.595278,50.000000,50.000000
1577954522.710273,psf_trial2_00004320.fits,-0.238774,-0.071158,-4.414669,50.000000,50.000000
1577954523.475129,psf_trial2_00004326.fits,0.017362,0.015525,0.763699,50.000000,50.000000
1577954524.246440,psf_trial2_00004331.fits,0.017362,0.015525,0.763699,50.000000,50.000000
1577954525.013634,psf_trial2_00004336.fits,0.270843,0.053432,4.064478,50.000000,50.000000
1577954525.791947,psf_trial2_00004342.fits,0.270843,0.053432,4.064478,50.000000,50.000000
1577954526.559385,psf_trial2_00004347.fits,0.270843,0.053432,4.064478,50.000000,50.000000
1577954527.321382,psf_trial2_00004353.fits,0.519409,-0.046892,-5.133597,50.000000,50.000000
1577954528.081733,psf_trial2_00004358.fits,0.519409,-0.046892,-5.133597,50.000000,50.000000
